ID,town,year,week,NOx
0101,臺北市松山區,2015,1,53.0
0101,臺北市松山區,2015,2,31.0
0101,臺北市松山區,2015,3,34.0
0101,臺北市松山區,2015,4,50.0
0101,臺北市松山區,2015,5,33.0
0101,臺北市松山區,2015,6,44.0
0101,臺北市松山區,2015,7,41.0
0101,臺北市松山區,2015,8,36.0
0101,臺北市松山區,2015,9,37.0
0101,臺北市松山區,2015,10,34.0
0101,臺北市松山區,2015,11,52.0
0101,臺北市松山區,2015,12,31.0
0101,臺北市松山區,2015,13,49.0
0101,臺北市松山區,2015,14,31.0
0101,臺北市松山區,2015,15,41.0
0101,臺北市松山區,2015,16,42.0
0101,臺北市松山區,2015,17,30.0
0101,臺北市松山區,2015,18,40.0
0101,臺北市松山區,2015,19,42.0
0101,臺北市松山區,2015,20,37.0
0101,臺北市松山區,2015,21,43.0
0101,臺北市松山區,2015,22,35.0
0101,臺北市松山區,2015,23,33.0
0101,臺北市松山區,2015,24,34.0
0101,臺北市松山區,2015,25,32.0
0101,臺北市松山區,2015,26,32.0
0101,臺北市松山區,2015,27,23.0
0101,臺北市松山區,2015,28,26.0
0101,臺北市松山區,2015,29,30.0
0101,臺北市松山區,2015,30,36.0
0101,臺北市松山區,2015,31,33.0
0101,臺北市松山區,2015,32,26.0
0101,臺北市松山區,2015,33,36.0
0101,臺北市松山區,2015,34,25.0
0101,臺北市松山區,2015,35,42.0
0101,臺北市松山區,2015,36,32.0
0101,臺北市松山區,2015,37,24.0
0101,臺北市松山區,2015,38,29.0
0101,臺北市松山區,2015,39,30.0
0101,臺北市松山區,2015,40,26.0
0101,臺北市松山區,2015,41,29.0
0101,臺北市松山區,2015,42,23.0
0101,臺北市松山區,2015,43,28.0
0101,臺北市松山區,2015,44,29.0
0101,臺北市松山區,2015,45,33.0
0101,臺北市松山區,2015,46,37.0
0101,臺北市松山區,2015,47,25.0
0101,臺北市松山區,2015,48,31.0
0101,臺北市松山區,2015,49,30.0
0101,臺北市松山區,2015,50,32.0
0101,臺北市松山區,2015,51,41.0
0101,臺北市松山區,2015,52,34.0
0101,臺北市松山區,2016,1,52.0
0101,臺北市松山區,2016,2,37.0
0101,臺北市松山區,2016,3,41.0
0101,臺北市松山區,2016,4,47.0
0101,臺北市松山區,2016,5,40.0
0101,臺北市松山區,2016,6,36.0
0101,臺北市松山區,2016,7,39.0
0101,臺北市松山區,2016,8,36.0
0101,臺北市松山區,2016,9,38.0
0101,臺北市松山區,2016,10,47.0
0101,臺北市松山區,2016,11,55.0
0101,臺北市松山區,2016,12,61.0
0101,臺北市松山區,2016,13,49.0
0101,臺北市松山區,2016,14,43.0
0101,臺北市松山區,2016,15,40.0
0101,臺北市松山區,2016,16,46.0
0101,臺北市松山區,2016,17,36.0
0101,臺北市松山區,2016,18,37.0
